id,from,to,type,speed,length,cost
-109986799#9,from_-109986799#9,to_-109986799#9,real,13.89,115.33,8.303095752339813
-110043951#2,from_-110043951#2,to_-110043951#2,real,11.11,180.14,16.214221422142213
-110043959#2,from_-110043959#2,to_-110043959#2,real,13.89,54.9,3.9524838012958963
-110124480#2,from_-110124480#2,to_-110124480#2,real,13.89,153.8,11.07271418286537
-110124480#3,from_-110124480#3,to_-110124480#3,real,13.89,21.11,1.5197984161267097
-110124482#0,from_-110124482#0,to_-110124482#0,real,22.22,35.0,1.5751575157515751
-110124482#2,from_-110124482#2,to_-110124482#2,real,22.22,145.45,6.545904590459045
-110124482#3,from_-110124482#3,to_-110124482#3,real,22.22,359.92,16.198019801980198
-110124482#4,from_-110124482#4,to_-110124482#4,real,22.22,9.21,0.41449144914491454
-113442610#0,from_-113442610#0,to_-113442610#0,real,13.89,36.13,2.601151907847372
-113442610#1,from_-113442610#1,to_-113442610#1,real,13.89,130.16,9.37077033837293
-113442610#2,from_-113442610#2,to_-113442610#2,real,13.89,93.5,6.731461483081353
-113442610#5,from_-113442610#5,to_-113442610#5,real,13.89,120.25,8.657307415406768
-113442611#2,from_-113442611#2,to_-113442611#2,real,2.78,60.51,21.76618705035971
-113442612#3,from_-113442612#3,to_-113442612#3,real,13.89,123.45,8.88768898488121
-113442613#2,from_-113442613#2,to_-113442613#2,real,13.89,144.6,10.41036717062635
-113442614#5,from_-113442614#5,to_-113442614#5,real,13.89,196.44,14.14254859611231
-115479070#1,from_-115479070#1,to_-115479070#1,real,13.89,25.84,1.8603311735061194
-122425173#1,from_-122425173#1,to_-122425173#1,real,13.89,29.22,2.1036717062634986
-122425173#15,from_-122425173#15,to_-122425173#15,real,13.89,196.33,14.134629229661627
-122425173#3,from_-122425173#3,to_-122425173#3,real,13.89,58.41,4.205183585313175
-122425173#5,from_-122425173#5,to_-122425173#5,real,13.89,57.81,4.161987041036717
-122425173#8,from_-122425173#8,to_-122425173#8,real,13.89,61.06,4.3959683225341974
-125133259#1,from_-125133259#1,to_-125133259#1,real,2.78,305.41,109.85971223021585
-125133259#3,from_-125133259#3,to_-125133259#3,real,2.78,37.84,13.611510791366909
-125133260,from_-125133260,to_-125133260,real,2.78,122.99,44.2410071942446
-126209150#3,from_-126209150#3,to_-126209150#3,real,2.78,176.91,63.63669064748202
-126774856#0,from_-126774856#0,to_-126774856#0,real,2.78,139.94,50.33812949640288
-126774856#2,from_-126774856#2,to_-126774856#2,real,2.78,11.19,4.025179856115108
-126774856#5,from_-126774856#5,to_-126774856#5,real,2.78,99.05,35.6294964028777
-126774856#6,from_-126774856#6,to_-126774856#6,real,2.78,24.85,8.938848920863311
-126774858,from_-126774858,to_-126774858,real,2.78,48.08,17.294964028776977
-126777018,from_-126777018,to_-126777018,real,2.78,73.26,26.352517985611513
-126777019#2,from_-126777019#2,to_-126777019#2,real,2.78,143.35,51.56474820143885
-126777019#8,from_-126777019#8,to_-126777019#8,real,2.78,247.92,89.17985611510791
-126777021#2,from_-126777021#2,to_-126777021#2,real,2.78,78.65,28.291366906474824
-126777023#3,from_-126777023#3,to_-126777023#3,real,2.78,117.51,42.26978417266187
-126777025#0,from_-126777025#0,to_-126777025#0,real,2.78,30.07,10.81654676258993
-126777025#7,from_-126777025#7,to_-126777025#7,real,2.78,184.08,66.2158273381295
-126777027#0,from_-126777027#0,to_-126777027#0,real,2.78,30.37,10.924460431654678
-126777027#2,from_-126777027#2,to_-126777027#2,real,2.78,148.02,53.24460431654677
-126777031#3,from_-126777031#3,to_-126777031#3,real,2.78,170.86,61.46043165467627
-126777033#4,from_-126777033#4,to_-126777033#4,real,2.78,173.97,62.57913669064749
-126777036#0,from_-126777036#0,to_-126777036#0,real,2.78,32.19,11.579136690647482
-126777036#1,from_-126777036#1,to_-126777036#1,real,2.78,20.91,7.52158273381295
-126777039#1,from_-126777039#1,to_-126777039#1,real,2.78,79.83,28.715827338129497
-126777042#4,from_-126777042#4,to_-126777042#4,real,2.78,172.36,62.00000000000001
-126777043,from_-126777043,to_-126777043,real,2.78,39.3,14.136690647482014
-126777044,from_-126777044,to_-126777044,real,2.78,36.04,12.964028776978418
-126777047#2,from_-126777047#2,to_-126777047#2,real,2.78,177.15,63.72302158273382
-126777048#4,from_-126777048#4,to_-126777048#4,real,2.78,169.12,60.834532374100725
-126777051#0,from_-126777051#0,to_-126777051#0,real,2.78,40.62,14.611510791366907
-126777051#3,from_-126777051#3,to_-126777051#3,real,2.78,117.56,42.28776978417267
-126777052,from_-126777052,to_-126777052,real,2.78,54.33,19.5431654676259
-126777056#0,from_-126777056#0,to_-126777056#0,real,2.78,28.64,10.302158273381297
-126777056#5,from_-126777056#5,to_-126777056#5,real,2.78,179.48,64.56115107913669
-126777056#7,from_-126777056#7,to_-126777056#7,real,2.78,4.03,1.4496402877697843
-126777057#1,from_-126777057#1,to_-126777057#1,real,2.78,104.4,37.55395683453238
-126777060#1,from_-126777060#1,to_-126777060#1,real,2.78,112.79,40.571942446043174
-126777061#2,from_-126777061#2,to_-126777061#2,real,2.78,177.44,63.827338129496404
-126777062,from_-126777062,to_-126777062,real,2.78,172.78,62.151079136690655
-126777064#1,from_-126777064#1,to_-126777064#1,real,2.78,114.41,41.15467625899281
-126777065#2,from_-126777065#2,to_-126777065#2,real,2.78,113.3,40.75539568345324
-126777066#0,from_-126777066#0,to_-126777066#0,real,2.78,40.08,14.41726618705036
-126777066#2,from_-126777066#2,to_-126777066#2,real,2.78,69.11,24.85971223021583
-126777067#3,from_-126777067#3,to_-126777067#3,real,2.78,157.1,56.510791366906474
-128973411#1,from_-128973411#1,to_-128973411#1,real,2.78,272.29,97.94604316546764
-128973414#1,from_-128973414#1,to_-128973414#1,real,2.78,56.94,20.48201438848921
-128973414#3,from_-128973414#3,to_-128973414#3,real,2.78,162.19,58.34172661870504
-129820054,from_-129820054,to_-129820054,real,25.0,69.11,2.7644
-133174334#2,from_-133174334#2,to_-133174334#2,real,13.89,524.9,37.789776817854566
-133174335#1,from_-133174335#1,to_-133174335#1,real,13.89,287.76,20.7170626349892
-133174337,from_-133174337,to_-133174337,real,13.89,152.11,10.951043916486682
-133174340#0,from_-133174340#0,to_-133174340#0,real,13.89,17.08,1.2296616270698342
-133174340#1,from_-133174340#1,to_-133174340#1,real,13.89,13.89,1.0
-133174340#14,from_-133174340#14,to_-133174340#14,real,13.89,339.91,24.471562275017998
-133174340#6,from_-133174340#6,to_-133174340#6,real,13.89,172.26,12.401727861771057
-133174340#9,from_-133174340#9,to_-133174340#9,real,13.89,109.19,7.861051115910727
-133174341#1,from_-133174341#1,to_-133174341#1,real,13.89,268.38,19.32181425485961
-134275537#2,from_-134275537#2,to_-134275537#2,real,13.89,75.82,5.45860331173506
-134275537#5,from_-134275537#5,to_-134275537#5,real,13.89,70.74,5.092872570194384
-134275537#6,from_-134275537#6,to_-134275537#6,real,13.89,104.38,7.514758819294456
-134275537#8,from_-134275537#8,to_-134275537#8,real,13.89,68.22,4.911447084233261
-142107480#1,from_-142107480#1,to_-142107480#1,real,13.89,96.6,6.954643628509719
-142107480#2,from_-142107480#2,to_-142107480#2,real,13.89,29.53,2.1259899208063353
-142107482,from_-142107482,to_-142107482,real,13.89,33.44,2.407487401007919
-142107483,from_-142107483,to_-142107483,real,13.89,31.89,2.2958963282937366
-142107485,from_-142107485,to_-142107485,real,13.89,84.96,6.116630669546436
-142955641#1,from_-142955641#1,to_-142955641#1,real,19.44,430.2,22.129629629629626
-142955641#2,from_-142955641#2,to_-142955641#2,real,19.44,25.47,1.3101851851851851
-142955643#4,from_-142955643#4,to_-142955643#4,real,13.89,130.06,9.363570914326854
-147910867#4,from_-147910867#4,to_-147910867#4,real,13.89,242.0,17.42260619150468
-147910867#5,from_-147910867#5,to_-147910867#5,real,13.89,115.78,8.335493160547156
-147910879#0,from_-147910879#0,to_-147910879#0,real,13.89,75.97,5.469402447804176
-147910879#1,from_-147910879#1,to_-147910879#1,real,13.89,64.11,4.615550755939525
-147910884,from_-147910884,to_-147910884,real,13.89,82.58,5.94528437724982
-147910926,from_-147910926,to_-147910926,real,13.89,212.47,15.296616270698344
-147910928,from_-147910928,to_-147910928,real,13.89,191.87,13.813534917206622
-147910933,from_-147910933,to_-147910933,real,13.89,137.13,9.872570194384448
-147910935,from_-147910935,to_-147910935,real,13.89,143.66,10.342692584593232
-147910937,from_-147910937,to_-147910937,real,13.89,163.81,11.793376529877609
-147910939,from_-147910939,to_-147910939,real,13.89,74.0,5.327573794096472
-147910952#0,from_-147910952#0,to_-147910952#0,real,13.89,310.59,22.360691144708422
-147910952#3,from_-147910952#3,to_-147910952#3,real,13.89,118.62,8.539956803455723
-147910953,from_-147910953,to_-147910953,real,13.89,156.47,11.264938804895607
-154123715,from_-154123715,to_-154123715,real,13.89,38.53,2.773938084953204
-162552370,from_-162552370,to_-162552370,real,13.89,89.32,6.430525557955363
-164427737#1,from_-164427737#1,to_-164427737#1,real,13.89,372.06,26.786177105831534
-165214117#0,from_-165214117#0,to_-165214117#0,real,13.89,59.69,4.297336213102952
-165214117#1,from_-165214117#1,to_-165214117#1,real,13.89,210.97,15.1886249100072
-165214117#2,from_-165214117#2,to_-165214117#2,real,13.89,254.25,18.304535637149026
-165214118,from_-165214118,to_-165214118,real,13.89,234.4,16.87544996400288
-165214119#0,from_-165214119#0,to_-165214119#0,real,13.89,48.5,3.4917206623470123
-165214119#1,from_-165214119#1,to_-165214119#1,real,13.89,101.59,7.313894888408927
-165214119#2,from_-165214119#2,to_-165214119#2,real,13.89,96.08,6.917206623470122
-165214120#0,from_-165214120#0,to_-165214120#0,real,13.89,119.1,8.57451403887689
-165214120#1,from_-165214120#1,to_-165214120#1,real,13.89,92.17,6.635709143268539
-171769414,from_-171769414,to_-171769414,real,13.89,174.73,12.579553635709143
-171769420,from_-171769420,to_-171769420,real,13.89,132.25,9.521238300935925
-171808529#18,from_-171808529#18,to_-171808529#18,real,13.89,579.5,41.72066234701224
-172675458,from_-172675458,to_-172675458,real,19.44,96.97,4.988168724279835
-172675460,from_-172675460,to_-172675460,real,25.0,35.92,1.4368
-172675461,from_-172675461,to_-172675461,real,27.78,30.05,1.081713462922966
-173450668#2,from_-173450668#2,to_-173450668#2,real,13.89,143.45,10.327573794096471
-173450671#7,from_-173450671#7,to_-173450671#7,real,25.0,201.88,8.0752
-173450672#5,from_-173450672#5,to_-173450672#5,real,13.89,392.85,28.2829373650108
-173502887#2,from_-173502887#2,to_-173502887#2,real,13.89,111.58,8.03311735061195
-173502887#5,from_-173502887#5,to_-173502887#5,real,13.89,150.75,10.853131749460042
-173502887#6,from_-173502887#6,to_-173502887#6,real,13.89,82.46,5.936645068394528
-173502887#9,from_-173502887#9,to_-173502887#9,real,13.89,152.15,10.953923686105112
-175820593#1,from_-175820593#1,to_-175820593#1,real,13.89,57.02,4.105111591072714
-175820594#7,from_-175820594#7,to_-175820594#7,real,13.89,184.56,13.287257019438444
-182403234#5,from_-182403234#5,to_-182403234#5,real,13.89,238.56,17.174946004319654
-182403236#1,from_-182403236#1,to_-182403236#1,real,13.89,25.07,1.804895608351332
-182403236#2,from_-182403236#2,to_-182403236#2,real,13.89,75.12,5.408207343412527
-182407844#2,from_-182407844#2,to_-182407844#2,real,16.67,533.43,31.999400119976
-182407844#8,from_-182407844#8,to_-182407844#8,real,16.67,390.67,23.435512897420516
-182407845#1,from_-182407845#1,to_-182407845#1,real,13.89,606.9,43.69330453563715
-182407846#10,from_-182407846#10,to_-182407846#10,real,19.44,16.18,0.8323045267489712
-182407846#3,from_-182407846#3,to_-182407846#3,real,19.44,110.52,5.685185185185184
-182407846#5,from_-182407846#5,to_-182407846#5,real,19.44,117.99,6.069444444444444
-182407846#6,from_-182407846#6,to_-182407846#6,real,19.44,72.44,3.7263374485596703
-182407846#8,from_-182407846#8,to_-182407846#8,real,19.44,118.73,6.107510288065844
-182411783#8,from_-182411783#8,to_-182411783#8,real,13.89,196.85,14.172066234701223
-183667422#3,from_-183667422#3,to_-183667422#3,real,13.89,172.96,12.452123830093592
-186692625,from_-186692625,to_-186692625,real,2.78,2.65,0.9532374100719425
-186692635#0,from_-186692635#0,to_-186692635#0,real,2.78,26.4,9.496402877697841
-186692635#3,from_-186692635#3,to_-186692635#3,real,2.78,278.2,100.07194244604317
-191000224,from_-191000224,to_-191000224,real,2.78,62.54,22.496402877697843
-191000225#0,from_-191000225#0,to_-191000225#0,real,2.78,7.42,2.669064748201439
-191000225#3,from_-191000225#3,to_-191000225#3,real,2.78,51.83,18.64388489208633
-192640537#14,from_-192640537#14,to_-192640537#14,real,13.89,365.49,26.31317494600432
-192640537#16,from_-192640537#16,to_-192640537#16,real,13.89,69.06,4.971922246220302
-192640537#17,from_-192640537#17,to_-192640537#17,real,13.89,75.95,5.46796256299496
-192640537#3,from_-192640537#3,to_-192640537#3,real,13.89,164.59,11.849532037437005
-201064799#1,from_-201064799#1,to_-201064799#1,real,13.89,29.32,2.110871130309575
-203272128#10,from_-203272128#10,to_-203272128#10,real,22.22,51.19,2.303780378037804
-203272128#2,from_-203272128#2,to_-203272128#2,real,22.22,117.93,5.307380738073808
-203272128#6,from_-203272128#6,to_-203272128#6,real,22.22,240.31,10.815031503150315
-203272128#7,from_-203272128#7,to_-203272128#7,real,22.22,101.86,4.584158415841585
-203272138#0,from_-203272138#0,to_-203272138#0,real,13.89,146.37,10.5377969762419
-203272138#1,from_-203272138#1,to_-203272138#1,real,13.89,68.41,4.925125989920806
-203272138#12,from_-203272138#12,to_-203272138#12,real,13.89,146.86,10.573074154067674
-203272138#2,from_-203272138#2,to_-203272138#2,real,13.89,51.86,3.733621310295176
-203272138#3,from_-203272138#3,to_-203272138#3,real,13.89,116.56,8.391648668106551
-203272138#5,from_-203272138#5,to_-203272138#5,real,13.89,8.02,0.5773938084953203
-203272138#6,from_-203272138#6,to_-203272138#6,real,13.89,144.95,10.435565154787616
-203272138#8,from_-203272138#8,to_-203272138#8,real,13.89,152.06,10.947444204463643
-203857382#10,from_-203857382#10,to_-203857382#10,real,22.22,22.65,1.0193519351935194
-203857382#3,from_-203857382#3,to_-203857382#3,real,22.22,193.43,8.705220522052207
-203857382#8,from_-203857382#8,to_-203857382#8,real,22.22,149.38,6.7227722772277225
-203857384#2,from_-203857384#2,to_-203857384#2,real,22.22,160.34,7.216021602160216
-203857390#4,from_-203857390#4,to_-203857390#4,real,13.89,40.9,2.944564434845212
-203983266,from_-203983266,to_-203983266,real,13.89,97.91,7.0489560835133185
-203983270,from_-203983270,to_-203983270,real,13.89,160.19,11.532757379409647
-203983271#1,from_-203983271#1,to_-203983271#1,real,22.22,49.62,2.2331233123312333
-203983271#2,from_-203983271#2,to_-203983271#2,real,22.22,35.94,1.6174617461746175
-203983281#6,from_-203983281#6,to_-203983281#6,real,13.89,218.23,15.711303095752339
-203983288#2,from_-203983288#2,to_-203983288#2,real,13.89,374.79,26.982721382289416
-205738612#2,from_-205738612#2,to_-205738612#2,real,13.89,53.53,3.8538516918646506
-205738614,from_-205738614,to_-205738614,real,2.78,75.02,26.98561151079137
-206683395#2,from_-206683395#2,to_-206683395#2,real,2.78,119.55,43.00359712230216
-206683396#2,from_-206683396#2,to_-206683396#2,real,2.78,305.33,109.83093525179856
-206683403#1,from_-206683403#1,to_-206683403#1,real,2.78,65.89,23.701438848920866
-206683408#1,from_-206683408#1,to_-206683408#1,real,2.78,112.65,40.521582733812956
-206683409#0,from_-206683409#0,to_-206683409#0,real,2.78,91.41,32.881294964028775
-206683411,from_-206683411,to_-206683411,real,2.78,122.13,43.931654676258994
-207110404#3,from_-207110404#3,to_-207110404#3,real,13.89,115.73,8.331893448524118
-207110405,from_-207110405,to_-207110405,real,13.89,0.7,0.05039596832253419
-208126370#1,from_-208126370#1,to_-208126370#1,real,13.89,140.59,10.12167026637869
-209573020#4,from_-209573020#4,to_-209573020#4,real,13.89,347.92,25.04823614110871
-209573020#7,from_-209573020#7,to_-209573020#7,real,13.89,99.94,7.195104391648668
-209646300#2,from_-209646300#2,to_-209646300#2,real,13.89,422.7,30.431965442764575
-210298836#1,from_-210298836#1,to_-210298836#1,real,13.89,962.08,69.264218862491
-210298844#2,from_-210298844#2,to_-210298844#2,real,13.89,338.42,24.36429085673146
-210500636#2,from_-210500636#2,to_-210500636#2,real,13.89,166.98,12.021598272138228
-210500652#2,from_-210500652#2,to_-210500652#2,real,13.89,138.95,10.003599712023037
-210500653#0,from_-210500653#0,to_-210500653#0,real,13.89,348.74,25.107271418286537
-210500655,from_-210500655,to_-210500655,real,13.89,74.71,5.378689704823613
-210880935#3,from_-210880935#3,to_-210880935#3,real,13.89,384.31,27.66810655147588
-215402819#1,from_-215402819#1,to_-215402819#1,real,13.89,142.58,10.264938804895609
-215453906#0,from_-215453906#0,to_-215453906#0,real,13.89,196.17,14.123110151187904
-215453906#2,from_-215453906#2,to_-215453906#2,real,13.89,118.81,8.553635709143268
-217857869#1,from_-217857869#1,to_-217857869#1,real,22.22,30.48,1.3717371737173718
-218799338#0,from_-218799338#0,to_-218799338#0,real,13.89,187.03,13.46508279337653
-218799338#8,from_-218799338#8,to_-218799338#8,real,13.89,807.21,58.114470842332615
-218799338#9,from_-218799338#9,to_-218799338#9,real,13.89,290.39,20.906407487401005
-219416925#1,from_-219416925#1,to_-219416925#1,real,16.67,79.31,4.757648470305939
-219416925#3,from_-219416925#3,to_-219416925#3,real,16.67,153.0,9.178164367126573
-219416925#4,from_-219416925#4,to_-219416925#4,real,16.67,128.1,7.684463107378523
-220519286#1,from_-220519286#1,to_-220519286#1,real,2.78,2.78,1.0
-220519291#1,from_-220519291#1,to_-220519291#1,real,2.78,171.67,61.75179856115108
-222277553,from_-222277553,to_-222277553,real,13.89,201.98,14.541396688264937
-222277555#0,from_-222277555#0,to_-222277555#0,real,13.89,89.31,6.429805615550756
-222277555#1,from_-222277555#1,to_-222277555#1,real,13.89,314.69,22.65586753059755
-222277555#2,from_-222277555#2,to_-222277555#2,real,13.89,175.63,12.644348452123829
-222848428#1,from_-222848428#1,to_-222848428#1,real,13.89,96.95,6.979841612670986
-222848430#1,from_-222848430#1,to_-222848430#1,real,13.89,115.63,8.324694024478042
-222848431#4,from_-222848431#4,to_-222848431#4,real,13.89,366.81,26.408207343412528
-222848431#9,from_-222848431#9,to_-222848431#9,real,13.89,134.1,9.654427645788337
-222848433#1,from_-222848433#1,to_-222848433#1,real,13.89,104.1,7.494600431965442
-222848437#1,from_-222848437#1,to_-222848437#1,real,13.89,78.0,5.615550755939525
-222848451#5,from_-222848451#5,to_-222848451#5,real,13.89,315.91,22.743700503959683
-222848457#1,from_-222848457#1,to_-222848457#1,real,13.89,122.97,8.853131749460042
-222848459,from_-222848459,to_-222848459,real,13.89,69.05,4.971202303815694
-222848462,from_-222848462,to_-222848462,real,13.89,162.86,11.724982001439885
-223010773,from_-223010773,to_-223010773,real,13.89,82.99,5.9748020158387325
-223010779,from_-223010779,to_-223010779,real,13.89,129.04,9.290136789056875
-223010782#0,from_-223010782#0,to_-223010782#0,real,13.89,57.61,4.147588192944564
-223010782#1,from_-223010782#1,to_-223010782#1,real,13.89,75.78,5.455723542116631
-223099571#1,from_-223099571#1,to_-223099571#1,real,13.89,16.4,1.1807055435565152
-223099571#3,from_-223099571#3,to_-223099571#3,real,13.89,44.52,3.205183585313175
-223099572#3,from_-223099572#3,to_-223099572#3,real,2.78,104.01,37.413669064748206
-223099572#4,from_-223099572#4,to_-223099572#4,real,2.78,60.72,21.84172661870504
-223099572#5,from_-223099572#5,to_-223099572#5,real,2.78,42.31,15.219424460431657
-223099574,from_-223099574,to_-223099574,real,22.22,22.83,1.0274527452745275
-223099575#2,from_-223099575#2,to_-223099575#2,real,27.78,191.7,6.9006479481641465
-223099575#7,from_-223099575#7,to_-223099575#7,real,27.78,149.66,5.387329013678905
-223105061#2,from_-223105061#2,to_-223105061#2,real,22.22,95.12,4.280828082808282
-223105062#0,from_-223105062#0,to_-223105062#0,real,13.89,79.95,5.755939524838013
-223105064#2,from_-223105064#2,to_-223105064#2,real,22.22,88.26,3.9720972097209724
-223105064#7,from_-223105064#7,to_-223105064#7,real,22.22,226.48,10.192619261926193
-223105065#0,from_-223105065#0,to_-223105065#0,real,8.33,63.66,7.642256902761104
-223105065#1,from_-223105065#1,to_-223105065#1,real,8.33,85.08,10.213685474189676
-223105066#1,from_-223105066#1,to_-223105066#1,real,13.89,26.32,1.8948884089272857
-223105066#3,from_-223105066#3,to_-223105066#3,real,13.89,106.46,7.664506839452843
-223105066#4,from_-223105066#4,to_-223105066#4,real,13.89,93.2,6.709863210943125
-223105066#5,from_-223105066#5,to_-223105066#5,real,13.89,72.74,5.23686105111591
-223105067#0,from_-223105067#0,to_-223105067#0,real,22.22,19.37,0.8717371737173718
-223105067#3,from_-223105067#3,to_-223105067#3,real,22.22,274.19,12.33978397839784
-223105067#4,from_-223105067#4,to_-223105067#4,real,22.22,142.67,6.420792079207921
-223105068#0,from_-223105068#0,to_-223105068#0,real,22.22,338.19,15.22007200720072
-223105068#2,from_-223105068#2,to_-223105068#2,real,22.22,47.17,2.122862286228623
-223105068#3,from_-223105068#3,to_-223105068#3,real,22.22,133.43,6.004950495049505
-223105072,from_-223105072,to_-223105072,real,22.22,86.52,3.893789378937894
-223105073#1,from_-223105073#1,to_-223105073#1,real,22.22,110.17,4.958145814581458
-223105073#6,from_-223105073#6,to_-223105073#6,real,22.22,83.06,3.7380738073807382
-223105074#2,from_-223105074#2,to_-223105074#2,real,22.22,10.24,0.4608460846084609
-223105074#6,from_-223105074#6,to_-223105074#6,real,22.22,86.54,3.894689468946895
-223105078#2,from_-223105078#2,to_-223105078#2,real,13.89,124.99,8.998560115190784
