source,target,speed,cost,type,id,length
to_a-1065,from_a1089,13.89,1.036717062634989,internal,:a767_13,14.4
to_a-1065,from_a-768,8.0,0.50875,internal,:a767_14,4.07
to_a-1065,from_a1065,3.65,0.39452054794520547,internal,:a767_15,1.44
to_a-1065,d_a767,1.0,1e-07,destination_node,to_a-1065_d_a767,1e-07
from_a-1067,to_a-1067,13.89,13.219582433405327,real,a-1067,183.62
to_a-1067,from_a1089,6.51,1.3870967741935483,internal,:a767_8,9.03
to_a-1067,from_a-768,13.89,1.036717062634989,internal,:a767_9,14.4
to_a-1067,from_a1065,8.0,0.50875,internal,:a767_10,4.07
to_a-1067,from_a1067,3.65,0.39452054794520547,internal,:a767_11,1.44
to_a-1067,d_a767,1.0,1e-07,destination_node,to_a-1067_d_a767,1e-07
from_a-1089,to_a-1089,13.89,13.362131029517638,real,a-1089,185.6
to_a-1089,from_a-768,6.51,1.3870967741935483,internal,:a767_4,9.03
to_a-1089,from_a1065,13.89,1.036717062634989,internal,:a767_5,14.4
to_a-1089,from_a1067,8.0,0.50875,internal,:a767_6,4.07
to_a-1089,from_a1089,3.65,0.39452054794520547,internal,:a767_7,1.44
to_a-1089,d_a767,1.0,1e-07,destination_node,to_a-1089_d_a767,1e-07
from_a-11,to_a-11,13.89,6.162706983441324,real,a-11,85.6
to_a-11,from_a3,6.51,1.3870967741935483,internal,:a1_12,9.03
to_a-11,from_a5,13.89,1.036717062634989,internal,:a1_13,14.4
to_a-11,from_a15,8.0,0.50875,internal,:a1_14,4.07
to_a-11,from_a11,3.65,0.39452054794520547,internal,:a1_15,1.44
to_a-11,d_a1,1.0,1e-07,destination_node,to_a-11_d_a1,1e-07
from_a-1201,to_a-1201,13.89,6.681065514758819,real,a-1201,92.8
to_a-1201,from_a27,7.65,1.684967320261438,internal,:a2_12,12.89
to_a-1201,from_a-769,13.42,1.247391952309985,internal,:a2_13,16.74
to_a-1201,from_a-3,8.0,0.32125,internal,:a2_14,2.57
to_a-1201,from_a1201,3.65,0.3589041095890411,internal,:a2_15,1.31
to_a-1201,d_a2,1.0,1e-07,destination_node,to_a-1201_d_a2,1e-07
from_a-1204,to_a-1204,13.89,14.983441324694024,real,a-1204,208.12
to_a-1204,from_a-875,9.42,1.3768577494692145,internal,:a874_12,12.97
to_a-1204,from_a2474,13.89,1.2095032397408207,internal,:a874_13,16.8
to_a-1204,from_a1890,7.44,0.7123655913978494,internal,:a874_14,5.3
to_a-1204,from_a1204,3.65,0.39452054794520547,internal,:a874_15,1.44
to_a-1204,d_a874,1.0,1e-07,destination_node,to_a-1204_d_a874,1e-07
from_a-1216,to_a-1216,13.89,8.819294456443485,real,a-1216,122.5
to_a-1216,from_a-1204,9.05,1.5392265193370165,internal,:a1039_8,13.93
to_a-1216,from_a1234,13.89,1.3851691864650826,internal,:a1039_9,19.24
to_a-1216,from_a-1040,7.42,0.9339622641509434,internal,:a1039_10,6.93
to_a-1216,from_a1216,3.65,0.39452054794520547,internal,:a1039_11,1.44
to_a-1216,d_a1039,1.0,1e-07,destination_node,to_a-1216_d_a1039,1e-07
from_a-1234,to_a-1234,13.89,6.162706983441324,real,a-1234,85.6
to_a-1234,from_a-1040,7.65,1.684967320261438,internal,:a1039_0,12.89
to_a-1234,from_a1216,13.42,1.247391952309985,internal,:a1039_1,16.74
to_a-1234,from_a-1204,9.75,0.2964102564102564,internal,:a1039_2,2.89
to_a-1234,from_a1234,3.65,0.3589041095890411,internal,:a1039_3,1.31
to_a-1234,d_a1039,1.0,1e-07,destination_node,to_a-1234_d_a1039,1e-07
from_a-1343,to_a-1343,13.89,6.162706983441324,real,a-1343,85.6
to_a-1343,from_a1347,6.51,1.3870967741935483,internal,:a1088_8,9.03
to_a-1343,from_a1353,13.89,1.036717062634989,internal,:a1088_9,14.4
to_a-1343,from_a-1089,8.0,0.50875,internal,:a1088_10,4.07
to_a-1343,from_a1343,3.65,0.39452054794520547,internal,:a1088_11,1.44
to_a-1343,d_a1088,1.0,1e-07,destination_node,to_a-1343_d_a1088,1e-07
from_a-1347,to_a-1347,13.89,13.362131029517638,real,a-1347,185.6
to_a-1347,from_a1353,6.51,1.3870967741935483,internal,:a1088_4,9.03
to_a-1347,from_a-1089,13.89,1.036717062634989,internal,:a1088_5,14.4
to_a-1347,from_a1343,8.0,0.50875,internal,:a1088_6,4.07
to_a-1347,from_a1347,3.65,0.39452054794520547,internal,:a1088_7,1.44
to_a-1347,d_a1088,1.0,1e-07,destination_node,to_a-1347_d_a1088,1e-07
from_a-1353,to_a-1353,13.89,6.162706983441324,real,a-1353,85.6
to_a-1353,from_a-1089,6.51,1.3870967741935483,internal,:a1088_0,9.03
to_a-1353,from_a1343,13.89,1.036717062634989,internal,:a1088_1,14.4
to_a-1353,from_a1347,8.0,0.50875,internal,:a1088_2,4.07
to_a-1353,from_a1353,3.65,0.39452054794520547,internal,:a1088_3,1.44
to_a-1353,d_a1088,1.0,1e-07,destination_node,to_a-1353_d_a1088,1e-07
from_a-1456,to_a-1456,13.89,6.354931605471561,real,a-1456,88.27
to_a-1456,from_a-1201,13.89,0.007199424046076314,internal,:a1200_1,0.1
to_a-1456,d_a1200,1.0,1e-07,destination_node,to_a-1456_d_a1200,1e-07
from_a-15,to_a-15,13.89,13.03599712023038,real,a-15,181.07
to_a-15,from_a11,6.51,1.3870967741935483,internal,:a1_0,9.03
to_a-15,from_a3,13.89,1.036717062634989,internal,:a1_1,14.4
to_a-15,from_a5,8.0,0.50875,internal,:a1_2,4.07
to_a-15,from_a15,3.65,0.39452054794520547,internal,:a1_3,1.44
to_a-15,d_a1,1.0,1e-07,destination_node,to_a-15_d_a1,1e-07
from_a-152,to_a-152,13.89,6.124550035997119,real,a-152,85.07
to_a-152,from_a156,6.51,1.3870967741935483,internal,:a26_12,9.03
to_a-152,from_a154,13.89,1.036717062634989,internal,:a26_13,14.4
to_a-152,from_a-27,8.0,0.50875,internal,:a26_14,4.07
to_a-152,from_a152,3.65,0.39452054794520547,internal,:a26_15,1.44
to_a-152,d_a26,1.0,1e-07,destination_node,to_a-152_d_a26,1e-07
from_a-154,to_a-154,13.89,5.836573074154067,real,a-154,81.07
to_a-154,from_a-27,6.51,1.3870967741935483,internal,:a26_4,9.03
to_a-154,from_a152,13.89,1.036717062634989,internal,:a26_5,14.4
to_a-154,from_a156,8.0,0.50875,internal,:a26_6,4.07
to_a-154,from_a154,3.65,0.39452054794520547,internal,:a26_7,1.44
to_a-154,d_a26,1.0,1e-07,destination_node,to_a-154_d_a26,1e-07
from_a-156,to_a-156,13.89,5.836573074154067,real,a-156,81.07
to_a-156,from_a154,6.51,1.3870967741935483,internal,:a26_8,9.03
to_a-156,from_a-27,13.89,1.036717062634989,internal,:a26_9,14.4
to_a-156,from_a152,8.0,0.50875,internal,:a26_10,4.07
to_a-156,from_a156,3.65,0.39452054794520547,internal,:a26_11,1.44
to_a-156,d_a26,1.0,1e-07,destination_node,to_a-156_d_a26,1e-07
from_a-1562,to_a-1562,13.89,13.219582433405327,real,a-1562,183.62
to_a-1562,from_a3490,7.02,1.51994301994302,internal,:a338_8,10.67
to_a-1562,from_a-339,13.89,1.1792656587473,internal,:a338_9,16.38
to_a-1562,from_a457,7.44,0.6532258064516129,internal,:a338_10,4.86
to_a-1562,from_a1562,3.65,0.39452054794520547,internal,:a338_11,1.44
to_a-1562,d_a338,1.0,1e-07,destination_node,to_a-1562_d_a338,1e-07
from_a-1572,to_a-1572,13.89,14.688984881209503,real,a-1572,204.03
to_a-1572,from_a-1234,9.42,1.3768577494692145,internal,:a1233_12,12.97
to_a-1572,from_a1656,13.89,1.2095032397408207,internal,:a1233_13,16.8
to_a-1572,from_a1586,7.44,0.7123655913978494,internal,:a1233_14,5.3
to_a-1572,from_a1572,3.65,0.39452054794520547,internal,:a1233_15,1.44
to_a-1572,d_a1233,1.0,1e-07,destination_node,to_a-1572_d_a1233,1e-07
from_a-1586,to_a-1586,13.89,13.077033837293015,real,a-1586,181.64
to_a-1586,from_a1572,5.74,1.5993031358885017,internal,:a1233_0,9.18
to_a-1586,from_a-1234,13.89,1.1792656587473,internal,:a1233_1,16.38
to_a-1586,from_a1656,8.42,0.5926365795724465,internal,:a1233_2,4.99
to_a-1586,from_a1586,3.65,0.39452054794520547,internal,:a1233_3,1.44
to_a-1586,d_a1233,1.0,1e-07,destination_node,to_a-1586_d_a1233,1e-07
from_a-1656,to_a-1656,13.89,13.362131029517638,real,a-1656,185.6
to_a-1656,from_a1586,7.02,1.51994301994302,internal,:a1233_4,10.67
to_a-1656,from_a1572,13.89,1.1036717062634989,internal,:a1233_5,15.33
to_a-1656,from_a-1234,8.0,0.39,internal,:a1233_6,3.12
to_a-1656,from_a1656,3.65,0.39452054794520547,internal,:a1233_7,1.44
to_a-1656,d_a1233,1.0,1e-07,destination_node,to_a-1656_d_a1233,1e-07
from_a-1763,to_a-1763,13.89,14.919366450683944,real,a-1763,207.23
to_a-1763,from_a-1067,5.74,1.5993031358885017,internal,:a1066_4,9.18
to_a-1763,from_a4455,13.89,1.1036717062634989,internal,:a1066_5,15.33
to_a-1763,from_a4443,10.47,0.42215854823304677,internal,:a1066_6,4.42
to_a-1763,from_a1763,3.65,0.39452054794520547,internal,:a1066_7,1.44
to_a-1763,d_a1066,1.0,1e-07,destination_node,to_a-1763_d_a1066,1e-07
from_a-1780,to_a-1780,13.89,13.219582433405327,real,a-1780,183.62
to_a-1780,from_a-1343,7.02,1.51994301994302,internal,:a1342_4,10.67
to_a-1780,from_a-1763,13.89,1.2095032397408207,internal,:a1342_5,16.8
to_a-1780,from_a-3358,7.44,0.7123655913978494,internal,:a1342_6,5.3
to_a-1780,from_a1780,3.65,0.39452054794520547,internal,:a1342_7,1.44
to_a-1780,d_a1342,1.0,1e-07,destination_node,to_a-1780_d_a1342,1e-07
from_a-1784,to_a-1784,13.89,6.450683945284377,real,a-1784,89.6
to_a-1784,from_a-156,13.89,1.3628509719222461,internal,:a155_4,18.93
to_a-1784,from_a-288,13.89,1.3743700503959682,internal,:a155_5,19.09
to_a-1784,from_a1786,8.94,2.012304250559284,internal,:a155_6,17.99
to_a-1784,from_a1784,3.65,0.39452054794520547,internal,:a155_7,1.44
to_a-1784,d_a155,1.0,1e-07,destination_node,to_a-1784_d_a155,1e-07
from_a-1786,to_a-1786,13.89,13.323974082073432,real,a-1786,185.07
to_a-1786,from_a1784,7.65,1.684967320261438,internal,:a155_8,12.89
to_a-1786,from_a-156,9.73,2.2086330935251794,internal,:a155_9,21.49
to_a-1786,from_a-288,7.42,2.6024258760107815,internal,:a155_10,19.31
to_a-1786,from_a1786,3.65,0.39452054794520547,internal,:a155_11,1.44
to_a-1786,d_a155,1.0,1e-07,destination_node,to_a-1786_d_a155,1e-07
from_a-1890,to_a-1890,13.89,13.219582433405327,real,a-1890,183.62
to_a-1890,from_a1204,5.74,1.5993031358885017,internal,:a874_0,9.18
to_a-1890,from_a-875,13.89,1.1792656587473,internal,:a874_1,16.38
to_a-1890,from_a2474,8.42,0.5926365795724465,internal,:a874_2,4.99
to_a-1890,from_a1890,3.65,0.39452054794520547,internal,:a874_3,1.44
to_a-1890,d_a874,1.0,1e-07,destination_node,to_a-1890_d_a874,1e-07
from_a-1898,to_a-1898,13.89,5.836573074154067,real,a-1898,81.07
to_a-1898,from_a-2483,5.47,1.780621572212066,internal,:a489_0,9.74
to_a-1898,from_a2508,8.54,1.9121779859484778,internal,:a489_1,16.33
to_a-1898,from_a2490,13.89,1.3628509719222461,internal,:a489_2,18.93
to_a-1898,from_a-490,8.71,0.7095292766934557,internal,:a489_3,6.18
to_a-1898,from_a1898,3.65,0.39452054794520547,internal,:a489_4,1.44
to_a-1898,d_a489,1.0,1e-07,destination_node,to_a-1898_d_a489,1e-07
from_a-1900,to_a-1900,13.89,8.493160547156227,real,a-1900,117.97
to_a-1900,from_a-496,5.47,1.780621572212066,internal,:a495_15,9.74
to_a-1900,from_a2276,13.4,1.244776119402985,internal,:a495_16,16.68
to_a-1900,from_a2278,13.89,1.691144708423326,internal,:a495_17,23.49
to_a-1900,from_a2279,9.73,2.2086330935251794,internal,:a495_18,21.49
to_a-1900,from_a1900,3.65,0.39452054794520547,internal,:a495_19,1.44
to_a-1900,d_a495,1.0,1e-07,destination_node,to_a-1900_d_a495,1e-07
from_a-1908,to_a-1908,13.89,13.03599712023038,real,a-1908,181.07
to_a-1908,from_a1911,6.51,1.3870967741935483,internal,:a1585_4,9.03
to_a-1908,from_a1909,13.89,1.2095032397408207,internal,:a1585_5,16.8
to_a-1908,from_a-1586,8.42,0.5178147268408552,internal,:a1585_6,4.36
to_a-1908,from_a1908,3.65,0.39452054794520547,internal,:a1585_7,1.44
to_a-1908,d_a1585,1.0,1e-07,destination_node,to_a-1908_d_a1585,1e-07
from_a-1909,to_a-1909,13.89,14.688984881209503,real,a-1909,204.03
to_a-1909,from_a-1586,5.74,1.5993031358885017,internal,:a1585_12,9.18
to_a-1909,from_a1908,13.89,1.1036717062634989,internal,:a1585_13,15.33
to_a-1909,from_a1911,10.47,0.42215854823304677,internal,:a1585_14,4.42
to_a-1909,from_a1909,3.65,0.39452054794520547,internal,:a1585_15,1.44
to_a-1909,d_a1585,1.0,1e-07,destination_node,to_a-1909_d_a1585,1e-07
from_a-1911,to_a-1911,13.89,6.162706983441324,real,a-1911,85.6
to_a-1911,from_a1909,9.42,1.3768577494692145,internal,:a1585_0,12.97
to_a-1911,from_a-1586,13.89,1.1792656587473,internal,:a1585_1,16.38
to_a-1911,from_a1908,8.0,0.50875,internal,:a1585_2,4.07
to_a-1911,from_a1911,3.65,0.39452054794520547,internal,:a1585_3,1.44
to_a-1911,d_a1585,1.0,1e-07,destination_node,to_a-1911_d_a1585,1e-07
from_a-2014,to_a-2014,13.89,8.819294456443485,real,a-2014,122.5
to_a-2014,from_a-1060,5.47,1.780621572212066,internal,:a1059_20,9.74
to_a-2014,from_a-1572,10.04,1.7250996015936257,internal,:a1059_21,17.32
to_a-2014,from_a-1909,13.89,1.5392368610511158,internal,:a1059_22,21.38
to_a-2014,from_a2034,13.89,0.36429085673146144,internal,:a1059_23,5.06
to_a-2014,from_a2014,3.65,0.39452054794520547,internal,:a1059_24,1.44
to_a-2014,d_a1059,1.0,1e-07,destination_node,to_a-2014_d_a1059,1e-07
from_a-2034,to_a-2034,13.89,13.219582433405327,real,a-2034,183.62
to_a-2034,from_a2014,13.89,1.3376529877609789,internal,:a1059_0,18.58
to_a-2034,from_a-1060,13.89,1.5046796256299495,internal,:a1059_1,20.9
to_a-2034,from_a-1572,11.43,0.4208223972003499,internal,:a1059_2,4.81
to_a-2034,from_a-1909,7.61,0.607095926412615,internal,:a1059_3,4.62
to_a-2034,from_a2034,3.65,0.39452054794520547,internal,:a1059_4,1.44
to_a-2034,d_a1059,1.0,1e-07,destination_node,to_a-2034_d_a1059,1e-07
from_a-2040,to_a-2040,13.89,5.836573074154067,real,a-2040,81.07
to_a-2040,from_a-1780,6.51,1.3870967741935483,internal,:a1779_0,9.03
to_a-2040,from_a2046,13.89,1.036717062634989,internal,:a1779_1,14.4
to_a-2040,from_a2044,8.0,0.50875,internal,:a1779_2,4.07
to_a-2040,from_a2040,3.65,0.39452054794520547,internal,:a1779_3,1.44
to_a-2040,d_a1779,1.0,1e-07,destination_node,to_a-2040_d_a1779,1e-07
from_a-2044,to_a-2044,13.89,5.836573074154067,real,a-2044,81.07
to_a-2044,from_a2040,6.51,1.3870967741935483,internal,:a1779_4,9.03
to_a-2044,from_a-1780,13.89,1.036717062634989,internal,:a1779_5,14.4
to_a-2044,from_a2046,8.0,0.50875,internal,:a1779_6,4.07
to_a-2044,from_a2044,3.65,0.39452054794520547,internal,:a1779_7,1.44
to_a-2044,d_a1779,1.0,1e-07,destination_node,to_a-2044_d_a1779,1e-07
from_a-2046,to_a-2046,13.89,5.836573074154067,real,a-2046,81.07
to_a-2046,from_a2044,6.51,1.3870967741935483,internal,:a1779_8,9.03
to_a-2046,from_a2040,13.89,1.036717062634989,internal,:a1779_9,14.4
to_a-2046,from_a-1780,8.0,0.50875,internal,:a1779_10,4.07
to_a-2046,from_a2046,3.65,0.39452054794520547,internal,:a1779_11,1.44
to_a-2046,d_a1779,1.0,1e-07,destination_node,to_a-2046_d_a1779,1e-07
from_a-2151,to_a-2151,13.89,13.65010799136069,real,a-2151,189.6
to_a-2151,from_a-1786,6.08,1.2730263157894737,internal,:a1785_0,7.74
to_a-2151,d_a1785,1.0,1e-07,destination_node,to_a-2151_d_a1785,1e-07
from_a-2164,to_a-2164,13.89,12.710583153347732,real,a-2164,176.55
to_a-2164,from_a2172,7.65,1.684967320261438,internal,:a1897_0,12.89
to_a-2164,from_a-1898,13.89,1.3628509719222461,internal,:a1897_1,18.93
to_a-2164,from_a-1900,7.42,0.8086253369272237,internal,:a1897_2,6.0
to_a-2164,from_a2164,3.65,0.39452054794520547,internal,:a1897_3,1.44
to_a-2164,d_a1897,1.0,1e-07,destination_node,to_a-2164_d_a1897,1e-07
from_a-2172,to_a-2172,13.89,5.836573074154067,real,a-2172,81.07
to_a-2172,from_a-1898,6.51,1.3870967741935483,internal,:a1897_12,9.03
to_a-2172,from_a-1900,13.89,1.3743700503959682,internal,:a1897_13,19.09
to_a-2172,from_a2164,8.71,0.5442020665901263,internal,:a1897_14,4.74
to_a-2172,from_a2172,3.65,0.39452054794520547,internal,:a1897_15,1.44
to_a-2172,d_a1897,1.0,1e-07,destination_node,to_a-2172_d_a1897,1e-07
from_a-2276,to_a-2276,13.89,13.362131029517638,real,a-2276,185.6
to_a-2276,from_a2278,7.65,1.684967320261438,internal,:a495_5,12.89
to_a-2276,from_a2279,13.42,1.247391952309985,internal,:a495_6,16.74
to_a-2276,from_a1900,13.89,0.15550755939524838,internal,:a495_7,2.16
to_a-2276,from_a-496,8.94,0.23713646532438482,internal,:a495_8,2.12
to_a-2276,from_a2276,3.65,0.3589041095890411,internal,:a495_9,1.31
to_a-2276,d_a495,1.0,1e-07,destination_node,to_a-2276_d_a495,1e-07
from_a-2278,to_a-2278,13.89,12.710583153347732,real,a-2278,176.55
to_a-2278,from_a2279,5.47,1.780621572212066,internal,:a495_0,9.74
to_a-2278,from_a1900,13.89,1.5104391648668105,internal,:a495_1,20.98
to_a-2278,from_a-496,13.89,1.6882649388048956,internal,:a495_2,23.45
to_a-2278,from_a2276,8.94,0.6912751677852349,internal,:a495_3,6.18
to_a-2278,from_a2278,3.65,0.39452054794520547,internal,:a495_4,1.44
to_a-2278,d_a495,1.0,1e-07,destination_node,to_a-2278_d_a495,1e-07
from_a-2279,to_a-2279,13.89,8.493160547156227,real,a-2279,117.97
to_a-2279,from_a1900,8.54,1.9121779859484778,internal,:a495_20,16.33
to_a-2279,from_a-496,13.89,1.491720662347012,internal,:a495_21,20.72
to_a-2279,from_a2276,13.89,1.3851691864650826,internal,:a495_22,19.24
to_a-2279,from_a2278,7.42,0.9339622641509434,internal,:a495_23,6.93
to_a-2279,from_a2279,3.65,0.39452054794520547,internal,:a495_24,1.44
to_a-2279,d_a495,1.0,1e-07,destination_node,to_a-2279_d_a495,1e-07
from_a-2284,to_a-2284,13.89,13.362131029517638,real,a-2284,185.6
to_a-2284,from_a-1911,6.51,1.3870967741935483,internal,:a1910_6,9.03
to_a-2284,from_a3615,13.89,1.036717062634989,internal,:a1910_7,14.4
to_a-2284,from_a2284,3.65,0.39452054794520547,internal,:a1910_8,1.44
to_a-2284,d_a1910,1.0,1e-07,destination_node,to_a-2284_d_a1910,1e-07
from_a-2286,to_a-2286,13.89,13.362131029517638,real,a-2286,185.6
to_a-2286,from_a-1656,6.51,1.3870967741935483,internal,:a1655_0,9.03
to_a-2286,from_a-1890,13.89,1.036717062634989,internal,:a1655_1,14.4
to_a-2286,from_a2292,8.0,0.50875,internal,:a1655_2,4.07
to_a-2286,from_a2286,3.65,0.39452054794520547,internal,:a1655_3,1.44
to_a-2286,d_a1655,1.0,1e-07,destination_node,to_a-2286_d_a1655,1e-07
from_a-2292,to_a-2292,13.89,6.538516918646508,real,a-2292,90.82
to_a-2292,from_a2286,6.51,1.3870967741935483,internal,:a1655_4,9.03
to_a-2292,from_a-1656,13.89,1.036717062634989,internal,:a1655_5,14.4
to_a-2292,from_a-1890,8.0,0.50875,internal,:a1655_6,4.07
to_a-2292,from_a2292,3.65,0.39452054794520547,internal,:a1655_7,1.44
to_a-2292,d_a1655,1.0,1e-07,destination_node,to_a-2292_d_a1655,1e-07
from_a-23,to_a-23,13.89,6.162706983441324,real,a-23,85.6
to_a-23,from_a3194,6.51,1.3870967741935483,internal,:a10_12,9.03
to_a-23,from_a-11,13.89,1.036717062634989,internal,:a10_13,14.4
to_a-23,from_a473,8.0,0.50875,internal,:a10_14,4.07
to_a-23,from_a23,3.65,0.39452054794520547,internal,:a10_15,1.44
to_a-23,d_a10,1.0,1e-07,destination_node,to_a-23_d_a10,1e-07
from_a-2400,to_a-2400,13.89,8.493160547156227,real,a-2400,117.97
to_a-2400,from_a2463,5.47,1.780621572212066,internal,:a2043_18,9.74
to_a-2400,from_a2415,13.4,1.244776119402985,internal,:a2043_19,16.68
to_a-2400,from_a2419,13.89,1.691144708423326,internal,:a2043_20,23.49
to_a-2400,from_a2401,9.73,2.2086330935251794,internal,:a2043_21,21.49
to_a-2400,from_a-2044,6.34,2.1529968454258674,internal,:a2043_22,13.65
to_a-2400,from_a2400,3.65,0.39452054794520547,internal,:a2043_23,1.44
to_a-2400,d_a2043,1.0,1e-07,destination_node,to_a-2400_d_a2043,1e-07
from_a-2401,to_a-2401,13.89,8.493160547156227,real,a-2401,117.97
to_a-2401,from_a-2044,5.47,1.780621572212066,internal,:a2043_30,9.74
to_a-2401,from_a2400,8.54,1.9121779859484778,internal,:a2043_31,16.33
to_a-2401,from_a2463,13.89,1.5104391648668105,internal,:a2043_32,20.98
to_a-2401,from_a2415,13.89,1.3851691864650826,internal,:a2043_33,19.24
to_a-2401,from_a2419,7.42,2.6024258760107815,internal,:a2043_34,19.31
to_a-2401,from_a2401,3.65,0.39452054794520547,internal,:a2043_35,1.44
to_a-2401,d_a2043,1.0,1e-07,destination_node,to_a-2401_d_a2043,1e-07
from_a-2415,to_a-2415,13.89,13.362131029517638,real,a-2415,185.6
to_a-2415,from_a2419,7.65,1.684967320261438,internal,:a2043_6,12.89
to_a-2415,from_a2401,13.42,1.247391952309985,internal,:a2043_7,16.74
to_a-2415,from_a-2044,13.89,1.3628509719222461,internal,:a2043_8,18.93
to_a-2415,from_a2400,13.89,0.31605471562275017,internal,:a2043_9,4.39
to_a-2415,from_a2463,8.94,0.38143176733780765,internal,:a2043_10,3.41
to_a-2415,from_a2415,3.65,0.39452054794520547,internal,:a2043_11,1.44
to_a-2415,d_a2043,1.0,1e-07,destination_node,to_a-2415_d_a2043,1e-07
from_a-2419,to_a-2419,13.89,12.710583153347732,real,a-2419,176.55
to_a-2419,from_a2401,5.47,1.780621572212066,internal,:a2043_0,9.74
to_a-2419,from_a-2044,8.54,1.9121779859484778,internal,:a2043_1,16.33
to_a-2419,from_a2400,13.89,1.5104391648668105,internal,:a2043_2,20.98
to_a-2419,from_a2463,13.89,1.6882649388048956,internal,:a2043_3,23.45
to_a-2419,from_a2415,8.94,2.012304250559284,internal,:a2043_4,17.99
to_a-2419,from_a2419,3.65,0.39452054794520547,internal,:a2043_5,1.44
to_a-2419,d_a2043,1.0,1e-07,destination_node,to_a-2419_d_a2043,1e-07
from_a-2463,to_a-2463,13.89,12.710583153347732,real,a-2463,176.55
to_a-2463,from_a2415,7.65,1.684967320261438,internal,:a2043_12,12.89
to_a-2463,from_a2419,13.89,1.6882649388048956,internal,:a2043_13,23.45
to_a-2463,from_a2401,13.89,1.665946724262059,internal,:a2043_14,23.14
to_a-2463,from_a-2044,9.73,2.2086330935251794,internal,:a2043_15,21.49
to_a-2463,from_a2400,7.42,2.6024258760107815,internal,:a2043_16,19.31
to_a-2463,from_a2463,3.65,0.39452054794520547,internal,:a2043_17,1.44
to_a-2463,d_a2043,1.0,1e-07,destination_node,to_a-2463_d_a2043,1e-07
from_a-2474,to_a-2474,13.89,13.219582433405327,real,a-2474,183.62
to_a-2474,from_a1890,7.02,1.51994301994302,internal,:a874_4,10.67
to_a-2474,from_a1204,13.89,1.1036717062634989,internal,:a874_5,15.33
to_a-2474,from_a-875,8.0,0.39,internal,:a874_6,3.12
to_a-2474,from_a2474,3.65,0.39452054794520547,internal,:a874_7,1.44
to_a-2474,d_a874,1.0,1e-07,destination_node,to_a-2474_d_a874,1e-07
from_a-2480,to_a-2480,13.89,6.162706983441324,real,a-2480,85.6
to_a-2480,from_a-922,7.65,1.684967320261438,internal,:a921_12,12.89
to_a-2480,from_a-1030,13.42,1.247391952309985,internal,:a921_13,16.74
to_a-2480,from_a-2014,12.69,0.24192277383766744,internal,:a921_14,3.07
to_a-2480,from_a2480,3.65,0.3589041095890411,internal,:a921_15,1.31
to_a-2480,d_a921,1.0,1e-07,destination_node,to_a-2480_d_a921,1e-07
from_a-2483,to_a-2483,13.89,8.493160547156227,real,a-2483,117.97
